,제목,조회수,날짜,질문,답변
0,전세사기 개인회생 신청알아보고 잇어요,3006,2024.07.10,"전세사기를 당했어요.,인터넷카페 들어가보니. 상황이 좋지않은분들은 개인회생을 신청하면 된다고 해서 저도 정보알아보고 개인회생을 신청하려고 해요.6천만원정도 되고제돈 3000만원은 못받을것같고. 신용카드. 카드론을 쓰고있어서 한 2000만원정도 더 빚이 있어요.전세사기 개인회생 진행하고있는 사무실 추천해 주시면.그곳에 문의해서 진행하고 싶어요. 집은 인천이에요.","안녕하세요. 로시컴-네이버 지식iN 상담변호사 김희성 입니다.저희 법무법인에서는 전세사기 개인회생 사건을 많이 접수하고 결과도 많이 받고있습니다. 우선 전세사기 개인회생 진행건은 24개월 변제계획안이 통과가 되기때문에 많은 피해자 분들이 개인회생을 신청하고 있습니다.저희사무실에 문의주시면 . 전세사기 개인회생 진행자들의 리스트를 보여드리면서 . 진행방법. 진행했을때 결과등을 제공받으실 수 있습니다. 전화상담 1661-9507 (모바일클릭)개인회생은 우선 자격요건이 충족이 되신분들이 신청할 수 있습니다. 자격요건은1. 소득활동을 하고있어야 한다. 자영업 , 직장인, 아르바이트 등 상관없이 소득이 있어야 한다.2. 재산보다 채무가 많아야 한다. 2개의 자격요건만 충족하시면 됩니다.지금 남겨주신 내용을 보면 채무가 9000만원정도 되는것으로 보이고. 재산은 확인이 안되니 재산이 9000만원보다 낮다면 신청할 수 있습니다. 재산이 완전히 없다는 가정이라면 1인생계비인 134만원을 소득에서 제외하고 24개월간 변제하는것으로 개인회생을 진행할 수 있습니다.물론 다른 특이사항이 있을수 있어서 개념만 설명드린 것이니 . 해당내용에 대해서 더 디테일한 상담이 필요하다면 언제든지 편하게 연락주시길 바랍니다.카카오실시간상담"
1,전세사기 개인회생 신청알아보고 잇어요,3006,2024.07.10,"전세사기를 당했어요.,인터넷카페 들어가보니. 상황이 좋지않은분들은 개인회생을 신청하면 된다고 해서 저도 정보알아보고 개인회생을 신청하려고 해요.6천만원정도 되고제돈 3000만원은 못받을것같고. 신용카드. 카드론을 쓰고있어서 한 2000만원정도 더 빚이 있어요.전세사기 개인회생 진행하고있는 사무실 추천해 주시면.그곳에 문의해서 진행하고 싶어요. 집은 인천이에요.",안녕하세요. 서울지방변호사회 소속으로 지식iN 법률상담을 진행하고 있는 최홍준 변호사입니다.전세사기로 피해가 발생된 채무자들 또한 개인회생으로 탕감과 면책이 가능합니다.전세사기 피해자가 늘어나는 상황을 고려하여 최대한 채무자들에게 유리한 실무준칙으로 개인회생이 진행되는 회생법원도 다수 있는데요.전세대출은 질권설정과 보증보험 유무가 중요하기 때문에 이 부분을 우선 확인하시는게 좋겠습니다.제 사건이라 생각하고 한분 한분 최선을 다해서 상담 도와드리고 있습니다. 연락주시면 상담안내 도와드리겠습니다.1661-9151 (전화연결)
2,전세사기 개인회생 신청알아보고 잇어요,3006,2024.07.10,"전세사기를 당했어요.,인터넷카페 들어가보니. 상황이 좋지않은분들은 개인회생을 신청하면 된다고 해서 저도 정보알아보고 개인회생을 신청하려고 해요.6천만원정도 되고제돈 3000만원은 못받을것같고. 신용카드. 카드론을 쓰고있어서 한 2000만원정도 더 빚이 있어요.전세사기 개인회생 진행하고있는 사무실 추천해 주시면.그곳에 문의해서 진행하고 싶어요. 집은 인천이에요.","안녕하세요. 서울지방변호사회 소속으로 지식iN 법률상담을 진행하고 있는 박진우 변호사입니다.10년 간 개인회생/기업회생 변호사로써 수많은 의뢰인 분들과 함께 해왔습니다.개인회생과 관련하여 궁금하신 사항을 해결해 드리고자 답변드리고 있으니, 본 내용이 도움이 되시길 바랍니다.- Q.전세사기 개인회생 신청알아보고 잇어요A. 전세사기를 당하셨다면, 개인회생제도를 통해 탐감받을 수 있습니다. 특히 정부에서는 전세사기 피해자들을 위하여 개인회생 변제기간 단축을 시행하고 있는데요.이는 서울회생법원에서만 가능한 사안이니, 현재 서울에 거주하시거나 직장 생활을 하고 계시다면 전세사기 개인회생 변제기간 단축이 가능합니다.또한 채무의 90% 이상을 탕감 받을 수 있는 제도인 만큼 전세사기로 억울하게 발생된 빚을 탕감 받아 보심을 추천드립니다.그러나 전세사기를 당했다고 하여 무조건 적으로 신청 가능한 것은 아니며, 신청 자격 여부부터 확인하는 것을 권장드립니다.개인회생제도에 대하여 궁금하신 사항이 있거나 신청 자격 확인이 필요하다면 아래 링크 통해 가능합니다.감사합니다.^^- ▶ 개인회생, 변호사 상담이 중요한 이유는? 개인회생은 채무의 최대 90% 이상을 감면 받을 수 있는 제도입니다. 한 해 10만 명 이상이 신청하고 있으며, 매년 신청인의 수는 증가하고 있지요. 하지만 그만큼 '매우 복잡한 절차'로 진행되는 제도이기도 합니다.그렇기에 사건을 '어떻게' 진행하느냐에 따라 '최선의 효율'을 낼 수 있는 제도이죠.저 박진우가 개인회생을 전문적으로 변호하는 가장 큰 이유이기도 합니다.채무 없는 내일을 시작하시려면, 저 박진우을 찾아 주시기 바랍니다. 상담원, 실무진이 아닌 저와의 '직접' 상담을 도와드리겠습니다.■ 개인회생, 나도 신청 가능할까? 개인회생제도 신청 가능성, 예상 월변제금 확인 1분이면 가능합니다.▷ 신청 자격, 월변제금 조회하기"
3,전세사기 개인회생 신청알아보고 잇어요,3006,2024.07.10,"전세사기를 당했어요.,인터넷카페 들어가보니. 상황이 좋지않은분들은 개인회생을 신청하면 된다고 해서 저도 정보알아보고 개인회생을 신청하려고 해요.6천만원정도 되고제돈 3000만원은 못받을것같고. 신용카드. 카드론을 쓰고있어서 한 2000만원정도 더 빚이 있어요.전세사기 개인회생 진행하고있는 사무실 추천해 주시면.그곳에 문의해서 진행하고 싶어요. 집은 인천이에요.","안녕하세요. 서울지방변호사회 소속으로 지식iN 법률상담을 진행하고 있는 유혜진 변호사입니다.전세사기 개인회생 문의 주셨습니다. 많이 힘드시겠습니다.최근 몇 년간 전세사기로 인해 피해를 보신 분들이 많은데요.저희 사무실에도 관련사건으로 문의를 주신건이 많습니다.빠른 상담 요청하시면 http://tel02-6952-1006 연락해주시면 됩니다.회생법원 실무준칙에 따르면 부산, 서울, 수원도 회생법원이전세사기 피해자들을 위해 변제기간을 단축하는 제도를 시행중입니다.현재 인천에 거주하고 계신데 근무지가 서울, 수원 이라면근무지 관할 법원에서도 신청이 가능한데요.전세사기 관련해서 발생된 채무는 탕감이 될 가능성이 높지만카드론 관련해서는 채무의 특성이 다르기 때문에탕감률이 낮을 수 있으니 참고 부탁드리겠습니다.탕감률을 높히고 월 변제금액을 낮추려면해당 사건을 많이 처리해본 노하우와 경험이 있는전문 변호사와 함께 사건을 진행하는것이 좋습니다."
4,전세사기 개인회생 신청알아보고 잇어요,3006,2024.07.10,"전세사기를 당했어요.,인터넷카페 들어가보니. 상황이 좋지않은분들은 개인회생을 신청하면 된다고 해서 저도 정보알아보고 개인회생을 신청하려고 해요.6천만원정도 되고제돈 3000만원은 못받을것같고. 신용카드. 카드론을 쓰고있어서 한 2000만원정도 더 빚이 있어요.전세사기 개인회생 진행하고있는 사무실 추천해 주시면.그곳에 문의해서 진행하고 싶어요. 집은 인천이에요.","안녕하세요. 서울지방변호사회 소속으로 지식iN 법률상담을 진행하고 있는 추은혜 변호사입니다.안녕하세요. 대한변호사협회 등록 가사법, 손해배상 전문 더든든 법률사무소 추은혜 변호사입니다. 개인회생의 장단점에 대해 상세히 설명드리겠습니다.전세사기 피해자이시군요. 저는 전세사기 114라는 단체에서 전세사기 피해자들 법률상담도 해주고 있어, 선생님 상황에 마음이 많이 아픕니다. 개인회생 가능하게 조력해드리겠습니다. 바로 전화주시겠어요?1. 개인회생의 주요 장점채무 조정: 감당할 수 있는 수준으로 채무가 조정됩니다.법적 보호: 채권자의 추심행위가 중지되어 법적 보호를 받습니다.이자 중단: 인가 결정 후 이자 발생이 중단됩니다.급여 압류 방지: 개인회생 중에는 급여 압류가 금지됩니다.신용회복 기회: 성실히 변제하면 신용회복의 기회를 얻을 수 있습니다.변제 기간 제한: 변제 기간은 3년으로, 이후 남은 채무는 면책됩니다.재산 보호: 기본적인 생활에 필요한 재산은 보호받을 수 있습니다.2. 개인회생의 주요 단점신용등급 하락: 개인회생 신청 시 신용등급이 크게 하락합니다.금융거래 제한: 개인회생 중에는 대출이나 신용카드 발급이 어려울 수 있습니다.변제 기간 동안의 경제활동 제한: 3년간 법원의 허가 없이 새로운 채무를 질 수 없습니다.재산 처분의 제한: 변제 계획 수행 중에는 법원의 허가 없이 주요 재산을 처분할 수 없습니다.변제 계획 수행의 부담: 정해진 기간 동안 매월 정기적으로 변제금을 납부해야 하는 부담이 있습니다.개인의 상황에 따라 장단점의 중요도가 다를 수 있습니다. 저희 더든든 법률사무소에서 귀하의 상황을 자세히 파악하고, 개인회생이 최선의 선택인지 함께 검토해 드릴 수 있습니다.구체적인 조력이 필요하시거나 전문적인 법률 상담을 원하시면 언제든 연락 주세요.https://the-dndn.com/변호사 직통 법률상담: 1600-2760대표 변호사가 첫 상담부터 책임지고 진행합니다. 더든든 법률사무소와 은반 심리상담소는 법률문제 해결과 마음 치유를 통해 고객 여러분의 삶이 따듯하고 안전할 수 있도록 돕겠습니다.의뢰인들의 지지 그룹 연결을 위해 네이버 카페를 운영하고 있습니다. 이 카페에서는 이혼, 가사, 회생, 파산 등 다양한 법률 정보를 공유하는 동시에 심리상담 서비스도 제공하고 있습니다. 비슷한 상황에 처한 분들과 소통하며 정보를 나누고 심리적 지지를 받을 수 있는 공간입니다. 감사합니다.https://cafe.naver.com/chulawvely답변이 도움되셨다면 채택 부탁드립니다."
5,세종전세사기 피해자인데요ㅠ,2376,2023.11.28,세종전세사기로 지금 제 전세자금을 모두 잃을 판입니다ㅠㅠㅠㅠ형사고소는 서둘러 했는데 전세자금 제대로 돌려받으려면 민사소송이 꼭 필요하다고 해서요ㅠㅠ혹시 세종전세사기나 다른 지역에서 발생한 전세사기 관련해서 경험이 있는 민사전문변호사님 계실까요?민사소송으로 꼭 세종전세사기 친 임대인에게 돈을 받아내고 싶어요ㅠㅠㅠ 도와주세요ㅠㅠㅠㅠ,안녕하세요. 로시컴-네이버 지식iN 상담변호사 임선준 입니다.
6,세종전세사기 피해자인데요ㅠ,2376,2023.11.28,세종전세사기로 지금 제 전세자금을 모두 잃을 판입니다ㅠㅠㅠㅠ형사고소는 서둘러 했는데 전세자금 제대로 돌려받으려면 민사소송이 꼭 필요하다고 해서요ㅠㅠ혹시 세종전세사기나 다른 지역에서 발생한 전세사기 관련해서 경험이 있는 민사전문변호사님 계실까요?민사소송으로 꼭 세종전세사기 친 임대인에게 돈을 받아내고 싶어요ㅠㅠㅠ 도와주세요ㅠㅠㅠㅠ,"안녕하세요. 서울지방변호사회 소속으로 지식iN 법률상담을 진행하고 있는 황인 변호사입니다.전세보증금사기 피해자의 입장이라고 하면 무엇부터 어떻게 대응을 해야 될 지 막막할 수 밖에 없을 것 같은데요.일단 상대방은 사기죄로 형사 고소를 진행 해보실 수 있습니다.형법에서 사기죄는, 사람을 기망하여 재물의 교부를 받거나 재산상의 이득을 취하는 것으로 사기로 고소를 취해볼 수 있게 됩니다.특히 전세보증금사기는 요즘에 가정의 파탄까지 이르게 되기 때문에 큰 처벌을 받아볼 수도 있는데요.기본적으로 형법 제 347조에 따라서 10년 이하의 징역 또는 2천만 원 이하의 벌금이 부과 될 수 있으며 금액이 5억 원 이상이면 3년 이상 징역, 50억 이상일 경우에는 최대 무기징역까지도 처해볼 수 있게 됩니다.그러나 한 가지 인지를 해야만 하는 것은 고소하는 것은 상대방에게 처벌을 가하는 것일 뿐 전세금을 반환 받는 방법은 아닌데요.돈을 돌려받기 위해서는 이렇게 형사고소를 비롯해 민사 법률 절차까지 함께 진행을 해야 된다는 점을 기억 하셔야 됩니다.어떻게 보면 복잡해 보일 수도 있는 절차지만 전문 변호사와 함께 동행을 하여 진행을 하게 되면 보다 수월하게 현재 상황을 극복 해볼 수 있으니 현 상황에 맞춰 자문을 구하기를 바랍니다."
7,세종전세사기 피해자인데요ㅠ,2376,2023.11.28,세종전세사기로 지금 제 전세자금을 모두 잃을 판입니다ㅠㅠㅠㅠ형사고소는 서둘러 했는데 전세자금 제대로 돌려받으려면 민사소송이 꼭 필요하다고 해서요ㅠㅠ혹시 세종전세사기나 다른 지역에서 발생한 전세사기 관련해서 경험이 있는 민사전문변호사님 계실까요?민사소송으로 꼭 세종전세사기 친 임대인에게 돈을 받아내고 싶어요ㅠㅠㅠ 도와주세요ㅠㅠㅠㅠ,"최근 세입자들의 소중한 보증금을 떼어먹는 전세사기가 기승을 부리고 있어 세입자들의 각별한 주의가 필요한 상황입니다. 하지만 사기꾼들의 수법이 워낙 교묘하기 때문에 조심을 한다고 하더라도 눈 뜨고 코베이는 식으로 전세사기를 당하기 십상입니다. 전세사기는 수년간 그 수법이 진화되어 왔습니다. 전세사기에 대처하는 방법으로는 (1) 형사고소, (2) 보증금반환청구소송, (3) 채권추심/강제집행이 있습니다. 이 세 가지 절차가 유기적으로 진행되어야 전세사기 사건에서 피해를 회복할 수 있습니다. 공인중개사가 전세사기에 적극 가담했다면 (4) 공인중개사 및 중개사협회에 대한 손해배상청구도 생각해볼 수 있습니다. 전세보증보험을 가입하였다고 하더라도, 석연치 않은 이유들로 보증이행을 하지 않는 경우가 허다합니다. 보증보험회사의 입장에서도 세입자에게 보증채무를 이행한 뒤 집주인에게 구상권을 행사하여 보증금을 회수해야 하는데, 집주인으로부터 보증금회수가 불가능할 경우 이는 고스란히 보증보험회사의 손해로 귀속되기 때문입니다. 이 경우 보증금반환에 대한 부담은 고스란히 세입자가 부담하게 됩니다.최근 유행하는 갭투자 전세사기는 결국 갭투자 사기꾼이 남겨놓은 재산을 피해자들끼리 나눠먹기를 하는 형국으로 귀결되는 경우가 많습니다. 따라서 신속한 법적 조치를 취한 쪽이 그렇지 않은 쪽보다 유리할 수밖에 없습니다. 전세사기는 수년동안 그 형태가 진화해왔고, 그 수법이 사안마다 다르기 때문에 사안에 맞는 적절한 해결책을 찾기를 원하신다면 관련 자료를 지참해 전문 변호사와 상담을 진행해보시는 것이 좋습니다. 참고하실만한 글을 소개해드립니다. 부동산 전세사기 대응방법에 관해서는 아래 글을 참고하시면 도움이 되실 것입니다."
8,세종전세사기 피해자인데요ㅠ,2376,2023.11.28,세종전세사기로 지금 제 전세자금을 모두 잃을 판입니다ㅠㅠㅠㅠ형사고소는 서둘러 했는데 전세자금 제대로 돌려받으려면 민사소송이 꼭 필요하다고 해서요ㅠㅠ혹시 세종전세사기나 다른 지역에서 발생한 전세사기 관련해서 경험이 있는 민사전문변호사님 계실까요?민사소송으로 꼭 세종전세사기 친 임대인에게 돈을 받아내고 싶어요ㅠㅠㅠ 도와주세요ㅠㅠㅠㅠ,안녕하세요. 로시컴-네이버 지식iN 상담변호사 유성권 입니다. 유사사안 진행경험이  존재합니다.임대인을  상대로  임대차보증금반환소송 제기가 가능한 사안이라는 사견입니다
9,전세사기 민사소송,412,2024.09.02,전세사기를 당해서 민사소송을 해야하나 생각중인데요민사소송을 해야하는 이유가 있을까요??경매나 피해자인정 등등변호사 비용도 만만치 않아서 고민되네요..,안녕하세요. 로시컴-네이버 지식iN 상담변호사 임선준 입니다.
10,전세사기 민사소송,412,2024.09.02,전세사기를 당해서 민사소송을 해야하나 생각중인데요민사소송을 해야하는 이유가 있을까요??경매나 피해자인정 등등변호사 비용도 만만치 않아서 고민되네요..,"안녕하세요. 서울지방변호사회 소속으로 지식iN 법률상담을 진행하고 있는 임동규 변호사입니다.전세사기를 당하셨다니 정말 안타깝습니다. 민사소송 진행에 대한 고민은 충분히 이해됩니다. 변호사 비용 부담과 함께 소송 과정이 길어질 수 있다는 점에서 망설여지실 텐데요, 먼저 민사소송이 필요한 이유와 함께 고려해야 할 점들을 자세히 알려드리겠습니다.민사소송이 필요한 이유보증금 회수: 가장 중요한 이유는 피해를 입은 보증금을 돌려받기 위해서입니다. 민사소송을 통해 법원의 판결을 받아 강제집행을 진행하여 보증금을 회수할 수 있습니다.법적 권리 행사: 전세사기는 명백한 불법 행위입니다. 민사소송을 통해 법적인 권리를 행사하고, 피해를 입은 사실을 공식적으로 인정받을 수 있습니다.피해 확산 방지: 소송을 통해 피해 사실을 알리고, 다른 피해자가 발생하는 것을 방지하는 데 기여할 수 있습니다.정신적 보상: 소송 과정을 통해 정신적인 고통에 대한 위자료를 청구할 수 있습니다.민사소송 진행 시 고려해야 할 점소송 기간: 소송은 일반적으로 오랜 시간이 소요됩니다.비용: 소송 비용에는 변호사 비용, 인지대, 송달료 등이 발생하며, 상당한 금액이 소요될 수 있습니다.피로감: 소송 과정은 심리적으로 매우 힘든 과정입니다.불확실성: 소송 결과는 예측하기 어렵습니다.소송 외에 고려할 수 있는 방법경매: 집주인이 파산하거나 부동산에 다른 채권자가 있는 경우, 경매를 통해 보증금을 회수할 수 있습니다. 하지만 경매 절차가 복잡하고 시간이 오래 걸릴 수 있습니다.피해자 인정: 지자체나 정부에서 운영하는 피해자 지원 프로그램에 신청하여 지원을 받을 수 있습니다.보증보험: 전세보증보험에 가입했다면 보증금을 보상받을 수 있습니다.변호사 선임전문 변호사: 전세사기 사건에 대한 경험이 풍부한 변호사를 선임하는 것이 좋습니다.비용 상담: 변호사와 상담하여 소송 비용에 대한 자세한 설명을 듣고, 본인에게 맞는 비용 계획을 수립해야 합니다.결론전세사기 피해는 개인에게 큰 고통을 안겨다 주는 심각한 문제입니다. 민사소송은 피해를 회복하고 권리를 행사하는 중요한 수단이지만, 신중하게 결정해야 합니다.변호사와 충분히 상담하여 본인의 상황에 맞는 최선의 해결 방안을 찾는 것이 중요합니다.법률 관련 문의는 언제든지 전화 주시면 성심성의껏 도와드리겠습니다.""법무법인 아이엠 법률 상담 전화번호 1551-8388“ https://blog.naver.com/nwupfj33"
